Gene	Entry	MAPD.score	Feature.completness	Max.degradation	DegradeFreq	IsKinase	PROTACdb	PROTACpedia	Multi.kinase.degrader	PROTACtable	DrugBank	ChEMBL	Electrophiles	TF	OncoKB	Clinvar
CDK2	P24941	0.9767	1	2.295173916	32	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	No	No
AIP	O00170	0.97135	1	0.127055601	0	No	No	No	No	No	No	No	Yes	No	No	Yes
DCUN1D5	Q9BTE7	0.96545	1	0.305786183	0	No	No	No	No	No	No	No	No	No	No	No
SRPRB	Q9Y5M8	0.9625	1	0.308260553	0	No	No	No	No	No	No	No	No	No	No	No
RPLP0P6	Q8NHW5	0.9603	0.788039232	0	-1	No	No	No	No	No	No	No	No	No	No	No
GTF2B	Q00403	0.9557	1	0.24284488	0	No	No	No	No	No	No	No	No	Yes	No	No
ATF1	P18846	0.95245	1	0.215001818	0	No	No	No	No	Yes	No	Yes	No	Yes	Yes	No
FKBP8	Q14318	0.95145	1	0.172016934	0	No	No	No	No	No	No	No	No	No	No	No
DHFR	P00374	0.949	1	0.578758615	0	No	No	No	No	Yes	Yes	Yes	No	No	No	No
RNASEH2A	O75792	0.9424	1	0.25134938	0	No	No	No	No	No	No	No	No	No	No	Yes
SKP1	P63208	0.94125	1	0.648407292	1	No	No	No	No	No	No	No	Yes	No	No	No
NDUFA8	P51970	0.93165	1	0.719158858	8	No	No	No	No	No	No	No	No	No	No	No
RPIA	P49247	0.92865	1	0.160527067	0	No	No	No	No	No	No	No	No	No	No	Yes
MAGEB2	O15479	0.92855	0.788039232	0.203959366	0	No	No	No	No	No	No	No	No	No	No	No
RNF2	Q99496	0.9283	1	0.157110569	0	No	No	No	No	No	No	No	No	No	No	No
ANLN	Q9NQW6	0.9236	0.719501627	0.466661241	4	No	No	No	No	No	No	No	Yes	No	No	Yes
MED10	Q9BTT4	0.92015	1	0.485645873	1	No	No	No	No	No	No	No	No	No	No	No
RHOA	P61586	0.91995	1	0.753248071	0	No	No	No	No	Yes	No	Yes	Yes	No	Yes	Yes
GOSR1	O95249	0.91955	1	0.231182243	0	No	No	No	No	No	No	No	No	No	No	No
RAC3	P60763	0.9186	0.788039232	0	-1	No	No	No	No	No	No	No	No	No	No	Yes
UBE2E1	P51965	0.91785	1	0.159728425	0	No	No	No	No	No	No	No	No	No	No	No
RRM2	P31350	0.91725	1	0.615410608	7	No	No	No	No	No	Yes	Yes	No	No	No	No
CHMP2A	O43633	0.91535	1	0.219190984	0	No	No	No	No	No	No	No	No	No	No	No
YKT6	O15498	0.9148	0.83245479	0.204089147	0	No	No	No	No	No	No	No	No	No	No	No
IGBP1	P78318	0.9135	1	0.174119556	0	No	No	No	No	No	No	No	No	No	No	No
PMF1	Q6P1K2	0.9131	0.83245479	0.219687644	0	No	No	No	No	No	No	No	No	No	No	No
TIMM10	P62072	0.91285	0.83245479	0.886366949	3	No	No	No	No	No	No	No	No	No	No	No
POLR2C	P19387	0.91215	0.83245479	0.363466975	0	No	No	No	No	No	No	No	Yes	No	No	No
TK1	P04183	0.9108	1	0.352326335	1	Yes	No	No	Yes	No	No	Yes	Yes	No	No	No
UBE2S	Q16763	0.91	1	0.56964482	7	No	No	No	No	No	No	No	Yes	No	No	No
THOC3	Q96J01	0.90965	1	0.215529585	0	No	No	No	No	No	No	No	No	No	No	No
ARL2	P36404	0.90945	0.83245479	0.503824733	0	No	No	No	No	No	Yes	No	Yes	No	No	No
SPART	Q8N0X7	0.9072	1	0.1897454	0	No	No	No	No	No	No	No	No	No	No	Yes
MAGEA1	P43355	0.90435	1	0.339205381	0	No	No	No	No	No	No	No	No	No	No	No
NSUN5	Q96P11	0.9042	1	0.284476914	0	No	No	No	No	No	No	No	Yes	No	No	No
RING1	Q06587	0.90285	1	0.16579877	0	No	No	No	No	No	No	No	Yes	No	No	No
IKBKG	Q9Y6K9	0.90225	1	0.480597696	0	No	No	No	No	Yes	No	Yes	Yes	No	No	Yes
TIMM13	Q9Y5L4	0.90215	0.83245479	0.373669277	1	No	No	No	No	No	No	No	No	No	No	No
ARF4	P18085	0.90205	1	0.456808238	0	No	No	No	No	No	No	No	Yes	No	No	No
HLA-B	P01889	0.90085	0.620494022	0.203049599	0	No	No	No	No	No	No	No	No	No	No	No
AP2S1	P53680	0.9004	0.83245479	0.174900455	0	No	No	No	No	No	No	No	No	No	No	Yes
YPEL5	P62699	0.9002	0.83245479	0.397987509	0	No	No	No	No	No	No	No	No	No	Yes	No
CETN3	O15182	0.8995	0.620494022	0.406731	1	No	No	No	No	No	No	No	No	No	No	No
POLR2J2	Q9GZM3	0.89915	0.620494022	0.102844418	0	No	No	No	No	No	No	No	No	No	No	No
HSD17B7	P56937	0.89875	1	0.171078629	0	No	No	No	No	Yes	No	Yes	No	No	No	No
CCDC71L	Q8N9Z2	0.89765	0.620494022	0.469023095	4	No	No	No	No	No	No	No	No	No	No	No
USF2	Q15853	0.8974	0.83245479	0.23223139	0	No	No	No	No	No	No	No	No	Yes	No	No
THOC7	Q6I9Y2	0.8968	1	0.130935853	0	No	No	No	No	No	No	No	No	No	No	No
ITPA	Q9BY32	0.8967	1	0.44844115	0	No	No	No	No	No	No	No	No	No	No	Yes
PSMB5	P28074	0.8955	1	0.388344743	0	No	No	No	No	Yes	Yes	Yes	No	No	No	No
CLIC4	Q9Y696	0.89465	1	0.198913993	0	No	No	No	No	No	No	No	Yes	No	No	No
ERI1	Q8IV48	0.89455	1	0.213546631	0	No	No	No	No	No	No	No	Yes	No	No	Yes
PPP6C	O00743	0.89265	0.83245479	0.214231197	0	No	No	No	No	No	No	No	No	No	No	No
GSTM3	P21266	0.8926	1	0.454846957	1	No	No	No	No	No	No	No	No	No	No	No
CRABP2	P29373	0.8916	1	0.170869445	0	No	No	Yes	No	Yes	No	Yes	No	No	No	No
PLK1	P53350	0.8911	1	1.070945822	8	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	No	No	No
MDM2	Q00987	0.89055	0.788039232	0.926600252	9	No	Yes	Yes	No	Yes	No	Yes	No	No	Yes	No
ATXN10	Q9UBB4	0.88995	1	0.164150535	0	No	No	No	No	No	No	No	Yes	No	No	No
TTC33	Q6PID6	0.88995	1	0.130783295	0	No	No	No	No	No	No	No	No	No	No	No
SNU13	P55769	0.88955	1	0.265414176	0	No	No	No	No	No	No	No	No	No	No	No
EIF3I	Q13347	0.8895	1	0.413401183	0	No	No	No	No	No	No	No	No	No	No	No
RPL9P7	P32969	0.8892	0.788039232	0	-1	No	No	No	No	No	No	No	No	No	No	No
RPL9P8	P32969	0.8892	0.788039232	0	-1	No	No	No	No	No	No	No	No	No	No	No
RANGRF	Q9HD47	0.8889	0.83245479	0.283894049	0	No	No	No	No	No	No	No	No	No	No	No
SBDS	Q9Y3A5	0.8889	1	0.215504779	0	No	No	No	No	No	No	No	No	No	Yes	Yes
CDCA7	Q9BWT1	0.8883	0.788039232	0.80682416	25	No	No	No	No	No	No	No	No	No	No	No
ATG101	Q9BSB4	0.8882	1	0.334683344	0	No	No	No	No	No	No	No	No	No	No	No
RPS4Y1	P22090	0.88805	0.788039232	0.238308957	0	No	No	No	No	Yes	No	Yes	No	No	No	No
CSNK1A1	P48729	0.88805	1	2.428013905	3	Yes	No	No	Yes	Yes	No	Yes	No	No	No	No
VAMP7	P51809	0.88785	0.83245479	0.292787505	0	No	No	No	No	No	No	No	No	No	No	No
CETN2	P41208	0.8876	1	0.220890148	0	No	No	No	No	No	No	No	No	No	No	No
POLR2F	P61218	0.8871	0.620494022	0.427883937	0	No	No	No	No	No	No	No	No	No	No	No
TNS4	Q8IZW8	0.8865	0.83245479	1.34786033	4	No	No	No	No	No	No	No	No	No	No	No
KIF2C	Q99661	0.8857	1	0.353796559	1	No	No	No	No	No	No	No	Yes	No	No	No
POLD4	Q9HCU8	0.8843	1	0.488303544	1	No	No	No	No	No	No	No	No	No	No	No
PITHD1	Q9GZP4	0.8833	0.83245479	0.365610929	0	No	No	No	No	No	No	No	No	No	No	No
H2AZ1	P0C0S5	0.88325	0.788039232	0.388249787	1	No	No	No	No	No	No	No	No	No	No	No
RAB14	P61106	0.88305	1	0.224111042	0	No	No	No	No	No	No	No	No	No	No	No
NSL1	Q96IY1	0.8826	0.83245479	0.178287445	0	No	No	No	No	No	No	No	No	No	No	No
SDC1	P18827	0.8825	0.83245479	0.458967386	0	No	No	No	No	No	No	No	No	No	No	No
POLR2J	P52435	0.88215	0.620494022	0.478231915	1	No	No	No	No	No	No	No	Yes	No	No	No
TERF2IP	Q9NYB0	0.882	1	0.192631924	0	No	No	No	No	Yes	No	Yes	No	No	No	No
COPS8	Q99627	0.8819	0.83245479	0.775555276	0	No	No	No	No	No	No	No	No	No	No	No
PPP1CC	P36873	0.8817	1	0.484394008	0	No	No	No	No	Yes	No	Yes	No	No	No	No
CLSPN	Q9HAW4	0.88145	1	0.470477676	8	No	No	No	No	No	No	No	Yes	No	No	No
PSMB9	P28065	0.88105	1	0.271575299	0	No	No	No	No	Yes	Yes	Yes	No	No	No	No
VPS37B	Q9H9H4	0.8799	1	0.202974305	0	No	No	No	No	No	No	No	No	No	No	No
RHEB	Q15382	0.87925	0.83245479	0.441798557	0	No	No	No	No	No	No	No	No	No	Yes	Yes
CBX6	O95503	0.8779	1	2.19561426	15	No	No	No	No	Yes	No	Yes	No	No	No	No
UBL5	Q9BZL1	0.8778	1	0.918171732	3	No	No	No	No	No	No	No	No	No	No	No
ARHGAP11A	Q6P4F7	0.8778	1	0.69177915	4	No	No	No	No	No	No	No	No	No	No	No
DNAJB12	Q9NXW2	0.8774	0.83245479	0.426316858	0	No	No	No	No	No	No	No	No	No	No	No
TMX2	Q9Y320	0.87405	1	0.363406244	0	No	No	No	No	No	No	No	Yes	No	No	No
SHARPIN	Q9H0F6	0.87395	0.83245479	0.33673084	0	No	No	No	No	No	No	Yes	No	No	No	No
PTTG1	O95997	0.87375	1	0.735195783	9	No	No	No	No	No	No	No	No	No	No	No
CLINT1	Q14677	0.87225	1	0.146795028	0	No	No	No	No	No	No	No	No	No	No	No
HLA-A	P04439	0.87185	1	0	-1	No	No	No	No	No	No	Yes	Yes	No	No	No
ANAPC7	Q9UJX3	0.8715	1	0.218482192	0	No	No	No	No	No	No	No	Yes	No	No	No
CAMK4	Q16566	0.87085	1	0.227169649	0	Yes	No	No	No	Yes	No	Yes	Yes	No	No	No
TXNL4B	Q9NX01	0.87035	0.83245479	0.582511294	0	No	No	No	No	No	No	No	No	No	No	No
UCK1	Q9HA47	0.86995	1	0.288393916	0	No	No	No	No	No	No	No	No	No	No	No
CHEK1	O14757	0.8696	1	0.659769775	3	Yes	No	No	Yes	Yes	No	Yes	No	No	No	No
DUSP9	Q99956	0.86955	0.620494022	0.354181857	0	No	No	No	No	No	No	No	No	No	Yes	No
TMCO1	Q9UM00	0.86945	0.83245479	0.339219651	0	No	No	No	No	No	No	No	No	No	No	Yes
BUD31	P41223	0.86895	1	0.935947878	1	No	No	No	No	No	No	No	No	No	No	No
DNAJB6	O75190	0.8685	1	0.244794834	0	No	No	No	No	No	No	No	No	No	No	Yes
ARL14EP	Q8N8R7	0.86795	1	0.314242632	0	No	No	No	No	No	No	No	No	No	No	No
COPE	O14579	0.8679	1	0.129529336	0	No	No	No	No	No	No	No	No	No	No	No
EIF3H	O15372	0.86545	1	0.117769092	0	No	No	No	No	No	No	No	No	No	No	No
UBE2Z	Q9H832	0.8653	1	0.193599372	0	No	No	No	No	No	No	No	No	No	No	No
RNF114	Q9Y508	0.86505	1	0.974433103	4	No	No	No	No	No	No	No	Yes	No	No	No
MGMT	P16455	0.8649	1	0.360202903	1	No	No	No	No	Yes	No	Yes	Yes	No	No	No
PHLDB2	Q86SQ0	0.8641	0.719501627	0.33955077	0	No	No	No	No	No	No	No	No	No	No	No
ADI1	Q9BV57	0.8639	1	1.287806605	0	No	No	No	No	No	No	No	No	No	No	No
POLA2	Q14181	0.86275	1	0.288077559	0	No	No	No	No	No	No	No	No	No	No	No
PEX5	P50542	0.86215	1	0.439974535	0	No	No	No	No	No	No	No	Yes	No	No	Yes
BCL2L1	Q07817	0.8614	0.620494022	0.38466739	0	No	No	Yes	No	Yes	No	Yes	Yes	No	Yes	No
NAA50	Q9GZZ1	0.8602	1	0.452112828	0	No	No	No	No	No	No	No	No	No	No	No
GLE1	Q53GS7	0.85965	1	0.135903098	0	No	No	No	No	No	No	No	No	No	No	Yes
SUMO1	P63165	0.85945	1	0.064790296	0	No	No	No	No	Yes	No	Yes	No	No	No	No
RPL34	P49207	0.85935	1	0.468694282	1	No	No	No	No	Yes	No	Yes	No	No	No	No
ELAC2	Q9BQ52	0.85925	1	0.239560477	0	No	No	No	No	No	No	No	Yes	No	No	Yes
PSME3	P61289	0.85905	1	0.339994717	0	No	No	No	No	No	No	No	No	No	No	No
MAFK	O60675	0.85905	1	0.479918302	0	No	No	No	No	No	No	No	No	Yes	No	No
GIMAP7	Q8NHV1	0.85895	0.620494022	0.433749032	4	No	No	No	No	No	No	No	No	No	No	No
ZNF23	P17027	0.85865	0.788039232	-0.069083564	0	No	No	No	No	No	No	No	No	Yes	No	No
HNRNPD	Q14103	0.8586	1	0.587691783	0	No	No	No	No	No	No	No	No	No	No	No
POLE3	Q9NRF9	0.8586	1	0.95335999	1	No	No	No	No	No	Yes	No	No	No	No	No
POLR1E	Q9GZS1	0.85775	1	0.164545925	0	No	No	No	No	No	No	No	No	No	No	No
GEMIN6	Q8WXD5	0.85765	0.83245479	0.368496979	0	No	No	No	No	No	No	No	No	No	No	No
ADA	P00813	0.85745	1	0.16310092	0	No	No	No	No	Yes	Yes	Yes	No	No	No	Yes
ZNF14	P17017	0.85735	0.788039232	0.293679475	0	No	No	No	No	No	No	No	Yes	Yes	No	No
MCMBP	Q9BTE3	0.85705	1	0.149915977	0	No	No	No	No	No	No	No	Yes	No	No	No
VRK2	Q86Y07	0.8569	0.788039232	0.250178886	0	Yes	No	No	No	Yes	No	Yes	No	No	No	No
TMEM45A	Q9NWC5	0.8562	0.620494022	0	-1	No	No	No	No	No	No	No	No	No	No	No
NAP1L4	Q99733	0.85615	1	0.141530263	0	No	No	No	No	No	No	No	Yes	No	No	No
NOPCHAP1	NA	0.85555	1	0	-1	No	No	No	No	No	No	No	No	No	No	No
RAE1	P78406	0.85545	1	0.277092024	0	No	No	No	No	No	No	No	Yes	No	No	No
PAIP2	Q9BPZ3	0.85525	1	0.77050549	2	No	No	No	No	No	No	No	No	No	No	No
GTF3C5	Q9Y5Q8	0.85525	1	0.103221858	0	No	No	No	No	No	No	No	No	No	No	No
BOLA2B	H3BV85	0.85515	0.788039232	0	-1	No	No	No	No	No	No	No	No	No	No	No
